key,wmape_gate,bias_guarded
CA_1|HOUSEHOLD_2_003,gbm,gbm
CA_1|HOUSEHOLD_2_004,gbm,gbm
CA_1|HOUSEHOLD_2_005,gbm,ses
CA_1|HOUSEHOLD_2_006,seasonal_naive,seasonal_naive
CA_1|HOUSEHOLD_2_007,croston_sba,croston_sba
CA_1|HOUSEHOLD_2_008,croston_sba,croston_sba
CA_1|HOUSEHOLD_2_009,gbm,gbm
CA_1|HOUSEHOLD_2_010,gbm,gbm
CA_2|FOODS_1_001,croston_sba,croston_sba
CA_2|FOODS_1_002,naive,croston_sba
CA_2|FOODS_1_003,gbm,gbm
CA_2|FOODS_1_004,gbm,gbm
CA_2|FOODS_1_005,naive,naive
CA_2|FOODS_1_006,naive,gbm
CA_2|FOODS_1_007,naive,ses
CA_2|FOODS_1_008,naive,seasonal_naive
CA_2|FOODS_1_009,gbm,gbm
CA_2|FOODS_1_010,gbm,gbm
CA_2|FOODS_2_001,gbm,gbm
CA_2|FOODS_2_002,naive,seasonal_naive
CA_2|FOODS_2_003,gbm,gbm
CA_2|FOODS_2_004,gbm,croston_sba
CA_2|FOODS_2_005,croston_sba,croston_sba
CA_2|FOODS_2_006,naive,seasonal_naive
CA_2|FOODS_2_007,naive,naive
CA_2|FOODS_2_008,gbm,gbm
CA_2|FOODS_2_009,naive,croston_sba
CA_2|FOODS_2_010,gbm,gbm
CA_2|HOBBIES_1_001,naive,naive
CA_2|HOBBIES_1_002,croston_sba,croston_sba
CA_2|HOBBIES_1_003,naive,croston_sba
CA_2|HOBBIES_1_004,naive,ses
CA_2|HOBBIES_1_005,gbm,seasonal_naive
CA_2|HOBBIES_1_006,gbm,gbm
CA_2|HOBBIES_1_007,gbm,gbm
CA_2|HOBBIES_1_008,naive,croston_sba
CA_2|HOBBIES_1_009,gbm,gbm
CA_2|HOBBIES_1_010,gbm,gbm
CA_2|HOBBIES_2_001,gbm,gbm
CA_2|HOBBIES_2_002,seasonal_naive,croston_sba
CA_2|HOBBIES_2_003,croston_sba,croston_sba
CA_2|HOBBIES_2_004,naive,naive
CA_2|HOBBIES_2_005,naive,naive
CA_2|HOBBIES_2_006,naive,naive
CA_2|HOBBIES_2_007,gbm,gbm
CA_2|HOBBIES_2_008,croston_sba,croston_sba
CA_2|HOBBIES_2_009,croston_sba,croston_sba
CA_2|HOBBIES_2_010,ses,ses
CA_2|HOUSEHOLD_1_001,gbm,gbm
CA_2|HOUSEHOLD_1_002,gbm,gbm
CA_2|HOUSEHOLD_1_003,naive,naive
CA_2|HOUSEHOLD_1_004,ses,ses
CA_2|HOUSEHOLD_1_005,naive,croston_sba
CA_2|HOUSEHOLD_1_006,gbm,gbm
CA_2|HOUSEHOLD_1_007,seasonal_naive,croston_sba
CA_2|HOUSEHOLD_1_008,naive,croston_sba
CA_2|HOUSEHOLD_1_009,naive,naive
CA_2|HOUSEHOLD_1_010,naive,naive
CA_2|HOUSEHOLD_2_001,gbm,gbm
CA_2|HOUSEHOLD_2_002,gbm,gbm
CA_2|HOUSEHOLD_2_003,croston_sba,croston_sba
CA_2|HOUSEHOLD_2_004,gbm,gbm
CA_2|HOUSEHOLD_2_005,ses,ses
CA_2|HOUSEHOLD_2_006,naive,ses
CA_2|HOUSEHOLD_2_007,croston_sba,croston_sba
CA_2|HOUSEHOLD_2_008,gbm,gbm
CA_2|HOUSEHOLD_2_009,gbm,gbm
CA_2|HOUSEHOLD_2_010,gbm,croston_sba
CA_3|FOODS_1_001,naive,naive
CA_3|FOODS_1_002,naive,croston_sba
CA_3|FOODS_1_003,gbm,gbm
CA_3|FOODS_1_004,ses,ses
CA_3|FOODS_1_005,naive,seasonal_naive
CA_3|FOODS_1_006,naive,gbm
CA_3|FOODS_1_007,naive,naive
CA_3|FOODS_1_008,seasonal_naive,gbm
CA_3|FOODS_1_009,gbm,seasonal_naive
CA_3|FOODS_1_010,gbm,gbm
CA_3|FOODS_2_001,gbm,gbm
CA_3|FOODS_2_002,naive,naive
CA_3|FOODS_2_003,croston_sba,croston_sba
CA_3|FOODS_2_004,gbm,ses
CA_3|FOODS_2_005,naive,croston_sba
CA_3|FOODS_2_006,gbm,gbm
CA_3|FOODS_2_007,naive,seasonal_naive
CA_3|FOODS_2_008,gbm,gbm
CA_3|FOODS_2_009,gbm,gbm
CA_3|FOODS_2_010,ses,ses
CA_3|HOBBIES_1_001,ses,naive
CA_3|HOBBIES_1_002,naive,croston_sba
CA_3|HOBBIES_1_003,gbm,gbm
CA_3|HOBBIES_1_004,croston_sba,croston_sba
CA_3|HOBBIES_1_005,gbm,gbm
CA_3|HOBBIES_1_006,gbm,gbm
CA_3|HOBBIES_1_007,gbm,gbm
CA_3|HOBBIES_1_008,croston_sba,croston_sba
CA_3|HOBBIES_1_009,ses,ses
CA_3|HOBBIES_1_010,gbm,gbm
CA_3|HOBBIES_2_001,ses,ses
CA_3|HOBBIES_2_002,naive,naive
CA_3|HOBBIES_2_003,gbm,gbm
CA_3|HOBBIES_2_004,naive,ses
CA_3|HOBBIES_2_005,gbm,ses
CA_3|HOBBIES_2_006,naive,ses
CA_3|HOBBIES_2_007,gbm,gbm
CA_3|HOBBIES_2_008,naive,naive
CA_3|HOBBIES_2_009,gbm,gbm
CA_3|HOBBIES_2_010,ses,ses
CA_3|HOUSEHOLD_1_001,croston_sba,croston_sba
CA_3|HOUSEHOLD_1_002,gbm,seasonal_naive
CA_3|HOUSEHOLD_1_003,naive,naive
CA_3|HOUSEHOLD_1_004,naive,naive
CA_3|HOUSEHOLD_1_005,naive,naive
CA_3|HOUSEHOLD_1_006,gbm,gbm
CA_3|HOUSEHOLD_1_007,naive,naive
CA_3|HOUSEHOLD_1_008,naive,gbm
CA_3|HOUSEHOLD_1_009,naive,croston_sba
CA_3|HOUSEHOLD_1_010,croston_sba,croston_sba
CA_3|HOUSEHOLD_2_001,naive,gbm
CA_3|HOUSEHOLD_2_002,gbm,gbm
CA_3|HOUSEHOLD_2_003,gbm,gbm
CA_3|HOUSEHOLD_2_004,gbm,gbm
CA_3|HOUSEHOLD_2_005,gbm,croston_sba
CA_3|HOUSEHOLD_2_006,naive,croston_sba
CA_3|HOUSEHOLD_2_007,gbm,croston_sba
CA_3|HOUSEHOLD_2_008,gbm,gbm
CA_3|HOUSEHOLD_2_009,gbm,seasonal_naive
CA_3|HOUSEHOLD_2_010,croston_sba,croston_sba
TX_1|FOODS_1_001,gbm,gbm
TX_1|FOODS_1_002,gbm,seasonal_naive
TX_1|FOODS_1_003,gbm,gbm
TX_1|FOODS_1_004,gbm,gbm
TX_1|FOODS_1_005,gbm,gbm
TX_1|FOODS_1_006,naive,naive
TX_1|FOODS_1_007,naive,ses
TX_1|FOODS_1_008,gbm,gbm
TX_1|FOODS_1_009,gbm,gbm
TX_1|FOODS_1_010,gbm,gbm
TX_1|FOODS_2_001,croston_sba,croston_sba
TX_1|FOODS_2_002,gbm,croston_sba
TX_1|FOODS_2_003,gbm,gbm
TX_1|FOODS_2_004,gbm,ses
TX_1|FOODS_2_005,naive,naive
TX_1|FOODS_2_006,gbm,naive
TX_1|FOODS_2_007,naive,naive
TX_1|FOODS_2_008,gbm,gbm
TX_1|FOODS_2_009,naive,naive
TX_1|FOODS_2_010,gbm,gbm
TX_1|HOBBIES_1_001,gbm,gbm
TX_1|HOBBIES_1_002,croston_sba,croston_sba
TX_1|HOBBIES_1_003,naive,gbm
TX_1|HOBBIES_1_004,naive,ses
TX_1|HOBBIES_1_005,gbm,gbm
TX_1|HOBBIES_1_006,gbm,gbm
TX_1|HOBBIES_1_007,gbm,gbm
TX_1|HOBBIES_1_008,seasonal_naive,seasonal_naive
TX_1|HOBBIES_1_009,gbm,gbm
TX_1|HOBBIES_1_010,gbm,gbm
TX_1|HOBBIES_2_001,croston_sba,croston_sba
TX_1|HOBBIES_2_002,croston_sba,croston_sba
TX_1|HOBBIES_2_003,naive,croston_sba
TX_1|HOBBIES_2_004,croston_sba,naive
TX_1|HOBBIES_2_005,naive,seasonal_naive
TX_1|HOBBIES_2_006,naive,gbm
TX_1|HOBBIES_2_007,gbm,gbm
TX_1|HOBBIES_2_008,gbm,gbm
TX_1|HOBBIES_2_009,gbm,gbm
TX_1|HOBBIES_2_010,naive,croston_sba
TX_1|HOUSEHOLD_1_001,gbm,gbm
TX_1|HOUSEHOLD_1_002,gbm,gbm
TX_1|HOUSEHOLD_1_003,naive,gbm
TX_1|HOUSEHOLD_1_004,ses,ses
TX_1|HOUSEHOLD_1_005,naive,seasonal_naive
TX_1|HOUSEHOLD_1_006,gbm,gbm
TX_1|HOUSEHOLD_1_007,naive,naive
TX_1|HOUSEHOLD_1_008,naive,croston_sba
TX_1|HOUSEHOLD_1_009,croston_sba,croston_sba
TX_1|HOUSEHOLD_1_010,naive,naive
TX_1|HOUSEHOLD_2_001,naive,croston_sba
TX_1|HOUSEHOLD_2_002,gbm,gbm
TX_1|HOUSEHOLD_2_003,gbm,croston_sba
TX_1|HOUSEHOLD_2_004,croston_sba,gbm
TX_1|HOUSEHOLD_2_005,gbm,croston_sba
TX_1|HOUSEHOLD_2_006,naive,ses
TX_1|HOUSEHOLD_2_007,gbm,gbm
TX_1|HOUSEHOLD_2_008,gbm,gbm
TX_1|HOUSEHOLD_2_009,gbm,gbm
TX_1|HOUSEHOLD_2_010,gbm,gbm
TX_2|FOODS_1_001,gbm,croston_sba
TX_2|FOODS_1_002,naive,croston_sba
TX_2|FOODS_1_003,gbm,gbm
TX_2|FOODS_1_004,croston_sba,croston_sba
TX_2|FOODS_1_005,ses,croston_sba
TX_2|FOODS_1_006,gbm,gbm
TX_2|FOODS_1_007,seasonal_naive,seasonal_naive
TX_2|FOODS_1_008,naive,naive
TX_2|FOODS_1_009,ses,ses
TX_2|FOODS_1_010,gbm,gbm
TX_2|FOODS_2_001,gbm,gbm
TX_2|FOODS_2_002,gbm,gbm
TX_2|FOODS_2_003,gbm,gbm
TX_2|FOODS_2_004,gbm,gbm
TX_2|FOODS_2_005,naive,gbm
TX_2|FOODS_2_006,gbm,gbm
TX_2|FOODS_2_007,naive,croston_sba
TX_2|FOODS_2_008,gbm,gbm
TX_2|FOODS_2_009,seasonal_naive,ses
TX_2|FOODS_2_010,gbm,gbm
TX_2|HOBBIES_1_001,ses,croston_sba
TX_2|HOBBIES_1_002,gbm,gbm
TX_2|HOBBIES_1_003,naive,ses
TX_2|HOBBIES_1_004,naive,naive
TX_2|HOBBIES_1_005,ses,gbm
TX_2|HOBBIES_1_006,gbm,gbm
TX_2|HOBBIES_1_007,croston_sba,croston_sba
TX_2|HOBBIES_1_008,seasonal_naive,ses
TX_2|HOBBIES_1_009,gbm,gbm
TX_2|HOBBIES_1_010,gbm,gbm
TX_2|HOBBIES_2_001,gbm,gbm
TX_2|HOBBIES_2_002,seasonal_naive,seasonal_naive
TX_2|HOBBIES_2_003,gbm,gbm
TX_2|HOBBIES_2_004,gbm,gbm
TX_2|HOBBIES_2_005,seasonal_naive,naive
TX_2|HOBBIES_2_006,naive,seasonal_naive
TX_2|HOBBIES_2_007,gbm,gbm
TX_2|HOBBIES_2_008,croston_sba,croston_sba
TX_2|HOBBIES_2_009,croston_sba,croston_sba
TX_2|HOBBIES_2_010,naive,croston_sba
TX_2|HOUSEHOLD_1_001,gbm,croston_sba
TX_2|HOUSEHOLD_1_002,gbm,gbm
TX_2|HOUSEHOLD_1_003,naive,naive
TX_2|HOUSEHOLD_1_004,croston_sba,croston_sba
TX_2|HOUSEHOLD_1_005,naive,seasonal_naive
TX_2|HOUSEHOLD_1_006,gbm,naive
TX_2|HOUSEHOLD_1_007,naive,seasonal_naive
TX_2|HOUSEHOLD_1_008,ses,croston_sba
TX_2|HOUSEHOLD_1_009,gbm,croston_sba
TX_2|HOUSEHOLD_1_010,naive,croston_sba
TX_2|HOUSEHOLD_2_001,naive,ses
TX_2|HOUSEHOLD_2_002,gbm,gbm
TX_2|HOUSEHOLD_2_003,croston_sba,croston_sba
TX_2|HOUSEHOLD_2_004,gbm,ses
TX_2|HOUSEHOLD_2_005,gbm,ses
TX_2|HOUSEHOLD_2_006,naive,gbm
TX_2|HOUSEHOLD_2_007,croston_sba,croston_sba
TX_2|HOUSEHOLD_2_008,naive,ses
TX_2|HOUSEHOLD_2_009,gbm,croston_sba
TX_2|HOUSEHOLD_2_010,gbm,gbm
