item_id,cat_id,dept_id,estimate,se,n,truth
HOBBIES_1_007,HOBBIES,HOBBIES_1,-0.8912818359484294,0.38149618144385705,1050,-0.7287
HOBBIES_1_008,HOBBIES,HOBBIES_1,0.09294530103787814,0.3663348638379535,1050,-0.6574
HOBBIES_1_009,HOBBIES,HOBBIES_1,0.3102109090910817,0.5672881030296505,1050,-0.6738
HOBBIES_1_010,HOBBIES,HOBBIES_1,-0.7922243897618861,0.17839857016128238,1050,-0.6195
HOBBIES_2_001,HOBBIES,HOBBIES_2,-0.9480987967112522,0.29187798355240535,1050,-0.6091
HOBBIES_2_002,HOBBIES,HOBBIES_2,-0.5162415617262722,0.14559437203597694,1050,-0.6415
HOBBIES_2_003,HOBBIES,HOBBIES_2,-0.6791416255748317,0.2212051453128633,1050,-0.6619
HOBBIES_2_004,HOBBIES,HOBBIES_2,-0.9170792122144996,0.1452205553375953,1050,-0.8073
HOBBIES_2_005,HOBBIES,HOBBIES_2,0.5788048526551094,0.485922056502308,1050,-0.37
HOBBIES_2_006,HOBBIES,HOBBIES_2,-0.30787179294633543,0.24870783754579368,1050,-0.3248
HOBBIES_2_007,HOBBIES,HOBBIES_2,-0.39888714431703093,0.1275994944398795,1050,-0.5333
HOBBIES_2_008,HOBBIES,HOBBIES_2,-0.7050942229875806,0.2307774228711654,1050,-0.6297
HOBBIES_2_009,HOBBIES,HOBBIES_2,-0.397860413370983,0.14119174859588013,1050,-0.5767
HOBBIES_2_010,HOBBIES,HOBBIES_2,-0.7107573818591819,0.22551364316910577,1050,-0.4519
HOUSEHOLD_1_001,HOUSEHOLD,HOUSEHOLD_1,-1.4197313336252462,0.3054516627436245,1050,-1.4385
HOUSEHOLD_1_002,HOUSEHOLD,HOUSEHOLD_1,-1.0025973200860547,0.18259155170129088,1050,-1.0035
HOUSEHOLD_1_003,HOUSEHOLD,HOUSEHOLD_1,-1.0882562152565198,0.2274330901790999,1050,-1.3049
HOUSEHOLD_1_004,HOUSEHOLD,HOUSEHOLD_1,-0.6668720045198814,0.39595904990143743,1050,-0.6888
HOUSEHOLD_1_005,HOUSEHOLD,HOUSEHOLD_1,-0.6783670833579398,0.20858366002505663,1050,-1.0431
HOUSEHOLD_1_006,HOUSEHOLD,HOUSEHOLD_1,-1.5024565900184155,0.1812764846708376,1050,-1.5412
HOUSEHOLD_1_007,HOUSEHOLD,HOUSEHOLD_1,-1.0053172774352352,0.19529684477959952,1050,-1.1084
HOUSEHOLD_1_008,HOUSEHOLD,HOUSEHOLD_1,-1.165267632756913,0.35153745057190267,1050,-1.2666
HOUSEHOLD_1_009,HOUSEHOLD,HOUSEHOLD_1,-0.21507160466246034,0.21103455079732197,1050,-0.6665
HOUSEHOLD_1_010,HOUSEHOLD,HOUSEHOLD_1,-1.3296102686952949,0.15275100921406165,1050,-1.0195
HOUSEHOLD_2_001,HOUSEHOLD,HOUSEHOLD_2,-1.0224885152197978,0.1653178286105083,1050,-1.1247
HOUSEHOLD_2_002,HOUSEHOLD,HOUSEHOLD_2,-1.6420441448926026,0.28293293984189205,1050,-1.0027
HOUSEHOLD_2_003,HOUSEHOLD,HOUSEHOLD_2,-1.1793931058246008,0.12337017878938841,1050,-1.1961
HOUSEHOLD_2_004,HOUSEHOLD,HOUSEHOLD_2,-1.3545083337974013,0.25389645084993856,1050,-1.4082
HOUSEHOLD_2_005,HOUSEHOLD,HOUSEHOLD_2,-1.6163327170878532,0.26155548592774913,1050,-1.4349
HOUSEHOLD_2_006,HOUSEHOLD,HOUSEHOLD_2,-1.2334737592012632,0.2898182188768623,1050,-1.6007
HOUSEHOLD_2_007,HOUSEHOLD,HOUSEHOLD_2,-1.0111564444029053,0.11436048834750044,1050,-0.8957
HOUSEHOLD_2_008,HOUSEHOLD,HOUSEHOLD_2,-0.8947310166462376,0.11241336233183456,1050,-1.0349
HOUSEHOLD_2_009,HOUSEHOLD,HOUSEHOLD_2,-0.3534898466025212,0.7176520093466959,1050,-1.0631
HOUSEHOLD_2_010,HOUSEHOLD,HOUSEHOLD_2,-1.3896837999385405,0.285775992906332,1050,-1.0591
